Indicator,Measure,Year,Geography,Rate,95% Confidence Interval,Cases,Population,Significant Compared to Ontario,Suppression Flag
Incidence of all cancers,Crude rate (both sexes),2014,Largest population centres with high population density,469.7,(463.9-475.5),25122.0,5348114.0,,
Incidence of all cancers,Crude rate (both sexes),2010,Ontario excluding Toronto,550.8,(546.3-555.3),57606.0,10458915.0,,
Incidence of all cancers,Crude rate (both sexes),2011,Ontario excluding Toronto,567.9,(563.3-572.4),59960.0,10558922.0,,
Incidence of all cancers,Crude rate (both sexes),2012,Ontario excluding Toronto,559.7,(555.2-564.2),59729.0,10671386.0,,
Incidence of all cancers,Crude rate (both sexes),2013,Ontario excluding Toronto,560.9,(556.4-565.4),60449.0,10777337.0,,
Incidence of all cancers,Crude rate (both sexes),2014,Ontario excluding Toronto,563.8,(559.3-568.3),61329.0,10877656.0,,
Incidence of all cancers,Crude rate (males),2010,Algoma Public Health,901.5,(824.3-978.7),524.0,58123.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Algoma Public Health,851.0,(775.9-926.1),493.0,57932.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Algoma Public Health,905.6,(827.9-983.4),521.0,57529.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Algoma Public Health,963.3,(882.8-1043.7),551.0,57202.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Algoma Public Health,821.2,(746.6-895.7),466.0,56748.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Brant County Health Unit,583.1,(526.0-640.3),400.0,68594.0,No,
Incidence of all cancers,Crude rate (males),2011,Brant County Health Unit,576.6,(520.0-633.3),398.0,69022.0,No,
Incidence of all cancers,Crude rate (males),2012,Brant County Health Unit,612.4,(554.3-670.5),427.0,69727.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Brant County Health Unit,555.3,(500.3-610.4),391.0,70407.0,No,
Incidence of all cancers,Crude rate (males),2014,Brant County Health Unit,517.7,(464.8-570.7),367.0,70884.0,No,
Incidence of all cancers,Crude rate (males),2010,Durham Region Health Department,486.3,(461.5-511.1),1480.0,304331.0,Lower,
Incidence of all cancers,Crude rate (males),2011,Durham Region Health Department,538.7,(512.8-564.7),1658.0,307761.0,Lower,
Incidence of all cancers,Crude rate (males),2012,Durham Region Health Department,500.9,(476.1-525.7),1565.0,312427.0,Lower,
Incidence of all cancers,Crude rate (males),2013,Durham Region Health Department,505.5,(480.7-530.3),1601.0,316715.0,Lower,
Incidence of all cancers,Crude rate (males),2014,Durham Region Health Department,506.6,(482.0-531.2),1625.0,320763.0,Lower,
Incidence of all cancers,Crude rate (males),2010,Grey Bruce Health Unit,807.8,(745.8-869.9),651.0,80588.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Grey Bruce Health Unit,798.8,(737.1-860.5),644.0,80617.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Grey Bruce Health Unit,800.2,(738.5-861.8),647.0,80856.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Grey Bruce Health Unit,780.9,(720.1-841.7),633.0,81059.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Grey Bruce Health Unit,804.5,(742.8-866.2),653.0,81169.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Haldimand-Norfolk Health Unit,742.5,(670.9-814.1),413.0,55623.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Haldimand-Norfolk Health Unit,724.3,(653.5-795.1),402.0,55499.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Haldimand-Norfolk Health Unit,683.5,(614.6-752.4),378.0,55301.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Haldimand-Norfolk Health Unit,753.7,(681.4-826.0),417.0,55327.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Haldimand-Norfolk Health Unit,665.0,(597.1-733.0),368.0,55335.0,Higher,
Incidence of all cancers,Crude rate (males),2010,"Haliburton, Kawartha, Pine Ridge District Health Unit",819.2,(759.2-879.3),714.0,87153.0,Higher,
Incidence of all cancers,Crude rate (males),2011,"Haliburton, Kawartha, Pine Ridge District Health Unit",935.3,(871.2-999.5),817.0,87349.0,Higher,
Incidence of all cancers,Crude rate (males),2012,"Haliburton, Kawartha, Pine Ridge District Health Unit",880.2,(818.2-942.1),775.0,88052.0,Higher,
Incidence of all cancers,Crude rate (males),2013,"Haliburton, Kawartha, Pine Ridge District Health Unit",837.3,(777.0-897.6),740.0,88381.0,Higher,
Incidence of all cancers,Crude rate (males),2014,"Haliburton, Kawartha, Pine Ridge District Health Unit",800.2,(741.3-859.1),709.0,88604.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Halton Region Public Health,488.9,(461.4-516.4),1214.0,248319.0,Lower,
Incidence of all cancers,Crude rate (males),2011,Halton Region Public Health,516.5,(488.6-544.5),1308.0,253220.0,Lower,
Incidence of all cancers,Crude rate (males),2012,Halton Region Public Health,493.1,(466.0-520.1),1276.0,258776.0,Lower,
Incidence of all cancers,Crude rate (males),2013,Halton Region Public Health,460.4,(434.5-486.2),1217.0,264357.0,Lower,
Incidence of all cancers,Crude rate (males),2014,Halton Region Public Health,489.7,(463.3-516.2),1318.0,269126.0,Lower,
Incidence of all cancers,Crude rate (males),2010,City of Hamilton Public Health Services,588.0,(558.6-617.4),1537.0,261379.0,Higher,
Incidence of all cancers,Crude rate (males),2011,City of Hamilton Public Health Services,608.3,(578.5-638.1),1602.0,263365.0,Higher,
Incidence of all cancers,Crude rate (males),2012,City of Hamilton Public Health Services,593.9,(564.6-623.2),1581.0,266209.0,Higher,
Incidence of all cancers,Crude rate (males),2013,City of Hamilton Public Health Services,595.6,(566.4-624.7),1602.0,268991.0,Higher,
Incidence of all cancers,Crude rate (males),2014,City of Hamilton Public Health Services,544.1,(516.4-571.8),1478.0,271638.0,No,
Incidence of all cancers,Crude rate (males),2010,Hastings Prince Edward Public Health,674.5,(617.8-731.2),544.0,80652.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Hastings Prince Edward Public Health,789.9,(728.5-851.2),637.0,80648.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Hastings Prince Edward Public Health,789.2,(727.8-850.6),635.0,80463.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Hastings Prince Edward Public Health,815.9,(753.5-878.4),656.0,80399.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Hastings Prince Edward Public Health,704.0,(645.9-762.0),565.0,80261.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Huron Perth Public Health,808.6,(707.2-910.1),244.0,30175.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Huron Perth Public Health,876.4,(770.5-982.3),263.0,30010.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Huron Perth Public Health,780.1,(679.5-880.7),231.0,29611.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Huron Perth Public Health,815.5,(712.5-918.4),241.0,29553.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Huron Perth Public Health,737.1,(639.0-835.1),217.0,29441.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Chatham-Kent Public Health,679.6,(609.2-750.0),358.0,52681.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Chatham-Kent Public Health,719.4,(646.7-792.1),376.0,52264.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Chatham-Kent Public Health,694.6,(622.9-766.2),361.0,51974.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Chatham-Kent Public Health,667.9,(597.5-738.2),346.0,51808.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Chatham-Kent Public Health,656.7,(586.9-726.5),340.0,51775.0,Higher,
Incidence of all cancers,Crude rate (males),2010,"Kingston, Frontenac and Lennox & Addington Public Health",609.6,(560.4-658.8),590.0,96784.0,Higher,
Incidence of all cancers,Crude rate (males),2011,"Kingston, Frontenac and Lennox & Addington Public Health",679.8,(628.1-731.6),663.0,97526.0,Higher,
Incidence of all cancers,Crude rate (males),2012,"Kingston, Frontenac and Lennox & Addington Public Health",639.0,(589.1-689.0),628.0,98272.0,Higher,
Incidence of all cancers,Crude rate (males),2013,"Kingston, Frontenac and Lennox & Addington Public Health",576.2,(528.8-623.5),569.0,98758.0,No,
Incidence of all cancers,Crude rate (males),2014,"Kingston, Frontenac and Lennox & Addington Public Health",644.5,(594.6-694.4),640.0,99301.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Lambton Public Health,764.9,(697.5-832.3),495.0,64716.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Lambton Public Health,824.2,(754.1-894.3),531.0,64426.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Lambton Public Health,684.0,(620.1-747.9),440.0,64330.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Lambton Public Health,704.3,(639.4-769.3),452.0,64173.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Lambton Public Health,736.1,(669.6-802.6),471.0,63987.0,Higher,
Incidence of all cancers,Crude rate (males),2010,"Leeds, Grenville & Lanark District Health Unit",722.8,(664.9-780.6),600.0,83014.0,Higher,
Incidence of all cancers,Crude rate (males),2011,"Leeds, Grenville & Lanark District Health Unit",793.8,(733.2-854.4),659.0,83015.0,Higher,
Incidence of all cancers,Crude rate (males),2012,"Leeds, Grenville & Lanark District Health Unit",778.6,(718.6-838.6),647.0,83099.0,Higher,
Incidence of all cancers,Crude rate (males),2013,"Leeds, Grenville & Lanark District Health Unit",692.2,(635.6-748.8),575.0,83067.0,Higher,
Incidence of all cancers,Crude rate (males),2014,"Leeds, Grenville & Lanark District Health Unit",805.6,(744.6-866.7),669.0,83040.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Middlesex-London Health Unit,535.6,(505.0-566.2),1177.0,219753.0,No,
Incidence of all cancers,Crude rate (males),2011,Middlesex-London Health Unit,577.4,(545.7-609.1),1277.0,221159.0,No,
Incidence of all cancers,Crude rate (males),2012,Middlesex-London Health Unit,557.4,(526.5-588.4),1246.0,223521.0,No,
Incidence of all cancers,Crude rate (males),2013,Middlesex-London Health Unit,561.1,(530.1-592.0),1265.0,225465.0,No,
Incidence of all cancers,Crude rate (males),2014,Middlesex-London Health Unit,560.3,(529.6-591.1),1273.0,227181.0,No,
Incidence of all cancers,Crude rate (males),2010,Niagara Region Public Health,742.2,(705.9-778.6),1600.0,215561.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Niagara Region Public Health,769.6,(732.5-806.6),1661.0,215838.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Niagara Region Public Health,689.4,(654.5-724.4),1494.0,216698.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Niagara Region Public Health,696.4,(661.3-731.5),1513.0,217254.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Niagara Region Public Health,669.3,(635.0-703.6),1460.0,218137.0,Higher,
Incidence of all cancers,Crude rate (males),2010,North Bay Parry Sound District Health Unit,722.4,(656.3-788.6),458.0,63398.0,Higher,
Incidence of all cancers,Crude rate (males),2011,North Bay Parry Sound District Health Unit,767.5,(699.3-835.6),487.0,63456.0,Higher,
Incidence of all cancers,Crude rate (males),2012,North Bay Parry Sound District Health Unit,748.2,(680.9-815.5),475.0,63486.0,Higher,
Incidence of all cancers,Crude rate (males),2013,North Bay Parry Sound District Health Unit,736.1,(669.4-802.9),467.0,63439.0,Higher,
Incidence of all cancers,Crude rate (males),2014,North Bay Parry Sound District Health Unit,739.9,(672.9-806.9),469.0,63387.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Northwestern Health Unit,467.2,(401.0-533.5),191.0,40878.0,Lower,
Incidence of all cancers,Crude rate (males),2011,Northwestern Health Unit,426.9,(363.6-490.1),175.0,40997.0,Lower,
Incidence of all cancers,Crude rate (males),2012,Northwestern Health Unit,378.7,(319.1-438.3),155.0,40933.0,Lower,
Incidence of all cancers,Crude rate (males),2013,Northwestern Health Unit,425.1,(362.0-488.3),174.0,40929.0,Lower,
Incidence of all cancers,Crude rate (males),2014,Northwestern Health Unit,422.9,(359.9-485.9),173.0,40906.0,Lower,
Incidence of all cancers,Crude rate (males),2010,Ottawa Public Health,461.1,(441.1-481.2),2026.0,439349.0,Lower,
Incidence of all cancers,Crude rate (males),2011,Ottawa Public Health,494.4,(473.8-515.1),2205.0,445975.0,Lower,
Incidence of all cancers,Crude rate (males),2012,Ottawa Public Health,493.4,(473.0-513.9),2231.0,452129.0,Lower,
Incidence of all cancers,Crude rate (males),2013,Ottawa Public Health,485.5,(465.3-505.7),2222.0,457643.0,Lower,
Incidence of all cancers,Crude rate (males),2014,Ottawa Public Health,511.5,(490.9-532.1),2368.0,462937.0,Lower,
Incidence of all cancers,Crude rate (males),2010,Peel Public Health,384.1,(369.0-399.1),2508.0,653034.0,Lower,
Incidence of all cancers,Crude rate (males),2011,Peel Public Health,405.7,(390.3-421.0),2692.0,663620.0,Lower,
Incidence of all cancers,Crude rate (males),2012,Peel Public Health,393.2,(378.2-408.1),2657.0,675798.0,Lower,
Incidence of all cancers,Crude rate (males),2013,Peel Public Health,401.4,(386.5-416.4),2763.0,688268.0,Lower,
Incidence of all cancers,Crude rate (males),2014,Peel Public Health,375.5,(361.2-389.9),2629.0,700107.0,Lower,
Incidence of all cancers,Crude rate (males),2010,Huron Perth Public Health,578.1,(501.7-654.5),220.0,38058.0,No,
Incidence of all cancers,Crude rate (males),2011,Huron Perth Public Health,596.3,(518.8-673.9),227.0,38065.0,No,
Incidence of all cancers,Crude rate (males),2012,Huron Perth Public Health,597.6,(520.2-675.0),229.0,38320.0,No,
Incidence of all cancers,Crude rate (males),2013,Huron Perth Public Health,548.1,(474.2-622.1),211.0,38494.0,No,
Incidence of all cancers,Crude rate (males),2014,Huron Perth Public Health,520.4,(448.5-592.4),201.0,38623.0,No,
Incidence of all cancers,Crude rate (males),2010,Peterborough Public Health,742.5,(677.3-807.7),498.0,67068.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Peterborough Public Health,763.8,(697.7-829.9),513.0,67164.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Peterborough Public Health,688.3,(625.6-751.0),463.0,67267.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Peterborough Public Health,681.0,(618.7-743.2),460.0,67552.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Peterborough Public Health,724.4,(660.3-788.5),491.0,67780.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Porcupine Health Unit,625.4,(551.6-699.1),276.0,44134.0,No,
Incidence of all cancers,Crude rate (males),2011,Porcupine Health Unit,622.1,(548.4-695.7),274.0,44047.0,No,
Incidence of all cancers,Crude rate (males),2012,Porcupine Health Unit,613.8,(540.5-687.2),269.0,43824.0,No,
Incidence of all cancers,Crude rate (males),2013,Porcupine Health Unit,594.6,(522.4-666.9),260.0,43724.0,No,
Incidence of all cancers,Crude rate (males),2014,Porcupine Health Unit,582.9,(511.1-654.8),253.0,43402.0,No,
Incidence of all cancers,Crude rate (males),2010,Renfrew County and District Health Unit,528.2,(466.1-590.3),278.0,52629.0,No,
Incidence of all cancers,Crude rate (males),2011,Renfrew County and District Health Unit,611.2,(544.7-677.8),324.0,53010.0,No,
Incidence of all cancers,Crude rate (males),2012,Renfrew County and District Health Unit,661.2,(592.1-730.3),352.0,53235.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Renfrew County and District Health Unit,669.3,(599.9-738.7),357.0,53340.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Renfrew County and District Health Unit,659.6,(590.8-728.4),353.0,53518.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Eastern Ontario Health Unit,686.3,(635.0-737.7),687.0,100098.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Eastern Ontario Health Unit,658.2,(608.1-708.3),663.0,100727.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Eastern Ontario Health Unit,671.2,(620.8-721.7),679.0,101156.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Eastern Ontario Health Unit,633.6,(584.5-682.6),641.0,101169.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Eastern Ontario Health Unit,713.1,(661.1-765.1),722.0,101253.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Simcoe Muskoka District Health Unit,665.3,(633.6-696.9),1698.0,255234.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Simcoe Muskoka District Health Unit,697.0,(664.8-729.3),1795.0,257520.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Simcoe Muskoka District Health Unit,667.6,(636.3-698.9),1745.0,261386.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Simcoe Muskoka District Health Unit,629.3,(599.1-659.5),1668.0,265069.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Simcoe Muskoka District Health Unit,639.4,(609.1-669.6),1718.0,268701.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Public Health Sudbury & Districts,661.3,(610.6-711.9),655.0,99049.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Public Health Sudbury & Districts,676.8,(625.5-728.1),669.0,98842.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Public Health Sudbury & Districts,663.8,(613.0-714.5),658.0,99133.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Public Health Sudbury & Districts,682.8,(631.4-734.2),678.0,99292.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Public Health Sudbury & Districts,663.0,(612.3-713.7),657.0,99101.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Thunder Bay District Health Unit,715.3,(655.6-775.0),552.0,77170.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Thunder Bay District Health Unit,723.6,(663.5-783.6),558.0,77118.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Thunder Bay District Health Unit,600.1,(545.4-654.7),463.0,77156.0,No,
Incidence of all cancers,Crude rate (males),2013,Thunder Bay District Health Unit,639.2,(582.7-695.6),493.0,77132.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Thunder Bay District Health Unit,647.1,(590.3-704.0),498.0,76954.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Timiskaming Health Unit,860.2,(722.5-997.8),150.0,17438.0,Higher,
Incidence of all cancers,Crude rate (males),2011,Timiskaming Health Unit,888.8,(748.9-1028.7),155.0,17439.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Timiskaming Health Unit,932.3,(788.8-1075.9),162.0,17376.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Timiskaming Health Unit,885.1,(744.8-1025.3),153.0,17287.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Timiskaming Health Unit,753.8,(623.7-883.8),129.0,17114.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Region of Waterloo Public Health and Emergency Services,504.1,(476.7-531.6),1296.0,257083.0,Lower,
Incidence of all cancers,Crude rate (males),2011,Region of Waterloo Public Health and Emergency Services,500.7,(473.5-527.9),1302.0,260040.0,Lower,
Incidence of all cancers,Crude rate (males),2012,Region of Waterloo Public Health and Emergency Services,481.9,(455.4-508.5),1267.0,262896.0,Lower,
Incidence of all cancers,Crude rate (males),2013,Region of Waterloo Public Health and Emergency Services,467.7,(441.7-493.8),1239.0,264895.0,Lower,
Incidence of all cancers,Crude rate (males),2014,Region of Waterloo Public Health and Emergency Services,469.0,(443.1-495.0),1252.0,266932.0,Lower,
Incidence of all cancers,Crude rate (males),2010,Wellington-Dufferin-Guelph Public Health,526.1,(487.3-564.9),707.0,134380.0,No,
Incidence of all cancers,Crude rate (males),2011,Wellington-Dufferin-Guelph Public Health,539.4,(500.3-578.6),729.0,135142.0,No,
Incidence of all cancers,Crude rate (males),2012,Wellington-Dufferin-Guelph Public Health,507.7,(469.9-545.5),694.0,136694.0,Lower,
Incidence of all cancers,Crude rate (males),2013,Wellington-Dufferin-Guelph Public Health,477.8,(441.3-514.3),659.0,137928.0,Lower,
Incidence of all cancers,Crude rate (males),2014,Wellington-Dufferin-Guelph Public Health,495.0,(458.1-532.0),691.0,139582.0,Lower,
Incidence of all cancers,Crude rate (males),2010,Windsor-Essex County Health Unit,582.6,(548.9-616.2),1154.0,198091.0,No,
Incidence of all cancers,Crude rate (males),2011,Windsor-Essex County Health Unit,582.2,(548.5-615.8),1153.0,198058.0,No,
Incidence of all cancers,Crude rate (males),2012,Windsor-Essex County Health Unit,635.8,(600.8-670.9),1265.0,198951.0,Higher,
Incidence of all cancers,Crude rate (males),2013,Windsor-Essex County Health Unit,593.3,(559.5-627.2),1182.0,199212.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Windsor-Essex County Health Unit,609.7,(575.5-644.0),1218.0,199765.0,Higher,
Incidence of all cancers,Crude rate (males),2010,York Region Public Health,426.0,(408.2-443.8),2191.0,514331.0,Lower,
Incidence of all cancers,Crude rate (males),2011,York Region Public Health,442.7,(424.7-460.7),2324.0,524907.0,Lower,
Incidence of all cancers,Crude rate (males),2012,York Region Public Health,428.7,(411.1-446.2),2296.0,535605.0,Lower,
Incidence of all cancers,Crude rate (males),2013,York Region Public Health,439.2,(421.6-456.8),2391.0,544351.0,Lower,
Incidence of all cancers,Crude rate (males),2014,York Region Public Health,445.3,(427.7-462.9),2462.0,552923.0,Lower,
Incidence of all cancers,Crude rate (males),2010,Toronto Public Health,496.6,(484.5-508.7),6436.0,1296008.0,Lower,
Incidence of all cancers,Crude rate (males),2011,Toronto Public Health,516.8,(504.5-529.1),6767.0,1309395.0,Lower,
Incidence of all cancers,Crude rate (males),2012,Toronto Public Health,496.2,(484.2-508.2),6599.0,1329961.0,Lower,
Incidence of all cancers,Crude rate (males),2013,Toronto Public Health,483.8,(472.1-495.6),6522.0,1347940.0,Lower,
Incidence of all cancers,Crude rate (males),2014,Toronto Public Health,495.7,(483.9-507.5),6755.0,1362704.0,Lower,
Incidence of all cancers,Crude rate (males),2010,Southwestern Public Health,595.5,(547.1-643.8),583.0,97907.0,No,
Incidence of all cancers,Crude rate (males),2011,Southwestern Public Health,636.1,(586.3-686.0),626.0,98407.0,Higher,
Incidence of all cancers,Crude rate (males),2012,Southwestern Public Health,601.6,(553.3-649.8),597.0,99243.0,No,
Incidence of all cancers,Crude rate (males),2013,Southwestern Public Health,652.2,(602.0-702.4),649.0,99513.0,Higher,
Incidence of all cancers,Crude rate (males),2014,Southwestern Public Health,644.0,(594.2-693.7),644.0,100004.0,Higher,
Incidence of all cancers,Crude rate (males),2010,Ontario,553.2,(547.5-559.0),35700.0,6452783.0,,
Incidence of all cancers,Crude rate (males),2011,Ontario,576.6,(570.8-582.4),37558.0,6513580.0,,
Incidence of all cancers,Crude rate (males),2012,Ontario,554.5,(548.8-560.2),36548.0,6591394.0,,
Incidence of all cancers,Crude rate (males),2013,Ontario,546.4,(540.8-552.0),36389.0,6660093.0,,
Incidence of all cancers,Crude rate (males),2014,Ontario,546.7,(541.2-552.3),36758.0,6723083.0,,
Incidence of all cancers,Crude rate (males),2010,Mainly urban centres with moderate population density,512.6,(502.5-522.7),9884.0,1928305.0,,
Incidence of all cancers,Crude rate (males),2011,Mainly urban centres with moderate population density,538.8,(528.5-549.1),10505.0,1949578.0,,
Incidence of all cancers,Crude rate (males),2012,Mainly urban centres with moderate population density,528.2,(518.0-538.3),10431.0,1974909.0,,
Incidence of all cancers,Crude rate (males),2013,Mainly urban centres with moderate population density,517.1,(507.1-527.1),10328.0,1997278.0,,
Incidence of all cancers,Crude rate (males),2014,Mainly urban centres with moderate population density,521.8,(511.8-531.8),10532.0,2018342.0,,
Incidence of all cancers,Crude rate (males),2010,Sparsely populated urban-rural mix,712.8,(697.6-728.0),8501.0,1192619.0,,
Incidence of all cancers,Crude rate (males),2011,Sparsely populated urban-rural mix,745.1,(729.6-760.6),8895.0,1193798.0,,
Incidence of all cancers,Crude rate (males),2012,Sparsely populated urban-rural mix,706.3,(691.2-721.3),8450.0,1196443.0,,
Incidence of all cancers,Crude rate (males),2013,Sparsely populated urban-rural mix,698.7,(683.7-713.6),8370.0,1197977.0,,
Incidence of all cancers,Crude rate (males),2014,Sparsely populated urban-rural mix,687.2,(672.3-702.0),8237.0,1198688.0,,
Incidence of all cancers,Crude rate (males),2010,Mainly rural,643.1,(626.2-659.9),5585.0,868486.0,,
Incidence of all cancers,Crude rate (males),2011,Mainly rural,670.0,(652.8-687.1),5844.0,872282.0,,
Incidence of all cancers,Crude rate (males),2012,Mainly rural,645.9,(629.1-662.7),5675.0,878678.0,,
Incidence of all cancers,Crude rate (males),2013,Mainly rural,631.5,(614.9-648.0),5584.0,884279.0,,
Incidence of all cancers,Crude rate (males),2014,Mainly rural,638.8,(622.2-655.4),5687.0,890319.0,,
Incidence of all cancers,Crude rate (males),2010,Largest population centres with high population density,452.0,(443.6-460.4),11135.0,2463373.0,,
Incidence of all cancers,Crude rate (males),2011,Largest population centres with high population density,471.7,(463.2-480.2),11783.0,2497922.0,,
Incidence of all cancers,Crude rate (males),2012,Largest population centres with high population density,454.6,(446.3-462.8),11552.0,2541364.0,,
Incidence of all cancers,Crude rate (males),2013,Largest population centres with high population density,452.5,(444.3-460.7),11676.0,2580559.0,,
Incidence of all cancers,Crude rate (males),2014,Largest population centres with high population density,452.9,(444.7-461.0),11846.0,2615734.0,,
Incidence of all cancers,Crude rate (males),2010,Ontario excluding Toronto,567.5,(561.0-574.0),29264.0,5156775.0,,
Incidence of all cancers,Crude rate (males),2011,Ontario excluding Toronto,591.7,(585.0-598.3),30791.0,5204185.0,,
Incidence of all cancers,Crude rate (males),2012,Ontario excluding Toronto,569.2,(562.8-575.7),29949.0,5261433.0,,
Incidence of all cancers,Crude rate (males),2013,Ontario excluding Toronto,562.2,(555.9-568.6),29867.0,5312153.0,,
Incidence of all cancers,Crude rate (males),2014,Ontario excluding Toronto,559.7,(553.4-566.1),30003.0,5360379.0,,
Incidence of all cancers,Crude rate (females),2010,Algoma Public Health,685.2,(619.3-751.1),415.0,60565.0,Higher,
Incidence of all cancers,Crude rate (females),2011,Algoma Public Health,689.5,(623.2-755.8),416.0,60334.0,Higher,
Incidence of all cancers,Crude rate (females),2012,Algoma Public Health,718.1,(650.3-785.9),431.0,60022.0,Higher,
Incidence of all cancers,Crude rate (females),2013,Algoma Public Health,834.9,(761.7-908.2),499.0,59765.0,Higher,
Incidence of all cancers,Crude rate (females),2014,Algoma Public Health,787.8,(716.4-859.2),468.0,59407.0,Higher,
Incidence of all cancers,Crude rate (females),2010,Brant County Health Unit,548.8,(494.4-603.1),392.0,71433.0,No,
Incidence of all cancers,Crude rate (females),2011,Brant County Health Unit,486.0,(435.1-536.9),350.0,72012.0,Lower,
Incidence of all cancers,Crude rate (females),2012,Brant County Health Unit,538.7,(485.2-592.1),390.0,72402.0,No,
Incidence of all cancers,Crude rate (females),2013,Brant County Health Unit,537.9,(484.7-591.0),393.0,73067.0,No,
Incidence of all cancers,Crude rate (females),2014,Brant County Health Unit,578.6,(523.7-633.6),426.0,73622.0,No,
Incidence of all cancers,Crude rate (females),2010,Durham Region Health Department,502.0,(477.3-526.8),1580.0,314722.0,No,
Incidence of all cancers,Crude rate (females),2011,Durham Region Health Department,506.6,(481.9-531.3),1616.0,319004.0,Lower,
Incidence of all cancers,Crude rate (females),2012,Durham Region Health Department,528.2,(503.2-553.3),1710.0,323723.0,No,
Incidence of all cancers,Crude rate (females),2013,Durham Region Health Department,512.4,(487.9-536.9),1682.0,328262.0,Lower,
Incidence of all cancers,Crude rate (females),2014,Durham Region Health Department,540.2,(515.2-565.2),1795.0,332281.0,No,
Incidence of all cancers,Crude rate (females),2010,Grey Bruce Health Unit,738.1,(679.3-796.9),605.0,81969.0,Higher,
Incidence of all cancers,Crude rate (females),2011,Grey Bruce Health Unit,665.3,(609.5-721.2),545.0,81916.0,Higher,
Incidence of all cancers,Crude rate (females),2012,Grey Bruce Health Unit,648.7,(593.6-703.8),532.0,82009.0,Higher,
